name,keysig,mode,melody
NLB016032_01,1,0,(62 62 62 67 71 71 71 71 67 69 67 66 66 69 69 72 69 66 69 67 67 67 66 69 72 69 66 69 67 62 62 67 67 71 71 71 71 67 67 69 67 66 69 69 72 69 67 66 67 71 74 62 62 62 67 71 71 71 71 67 67 69 67 66 69 69 72 69 66 67 66 67 71 74 62 62 67 71 71 71 71 71 71 69 67 69 69 66 69 69 72 72 71 69 67 66 67 74 71 71 71 71 71 67 69 71 72 72 71 71 69 67 66 67 66 67 71 74 74 74 74 71 71 71 67 67 67 69 71 72 74 74 74 71 71 71 67 69 71 72 72 72 69 69 69 69 66 66 67 66 67 71 74 62 62 62 67 71 71 71 71 67 69 67 66 69 69 72 69 67 71 71 74 62 62 62 67 71 71 71 71 71 71 71 67 67 69 66 69 69 72 72 71 69 67 66 67 71 74 62 62 62 67 71 71 71 71 71 67 69 62 66 69 72 72 71 69 67 66 67 71 74 66 66 69 69 72 72 71 69 69 67 67 66 67 62 62 67 67 71 71 71 69 67 69 67 66 69 72 69 69 67 66 67 71 74 67 66 69 69 72 69 66 67 71 74 62 62 67 71 71 71 71 71 71 69 67 69 69 66 69 69 72 72 71 69 67 66 67 74 74 71 71 67 67 69 71 72 72 72 69 69 69 66 66 67 71 74 66 69 69 72 69 69 67 66 67 74 74 71 71 67 67 69 71 71 72 67 66 69 72 69 69 67 66 66 67 74 74 71 71 71 67 67 69 71 72 72 72 69 69 69 66 66 67 66 67 71 74 62 62 67 67 71 71 71 71 67 67 69 67 66 69 69 72 69 69 67 66 66 67 74 74 71 71 71 67 67 69 71 71 72 72 72 69 69 69 66 66 67 66 66 71 74 62 62 62 67 71 71 71 71 71 69 67 69 69 67 66 69 72 71 69 67 66 67)
NLB016056_01,0,9,(62 62 62 65 65 67 67 69 67 69 69 74 72 71 69 71 72 72 72 72 72 69 67 67 65 72 74 72 72 72 69 67 69 67 65 64 62)
NLB016057_01,-1,9,(67 67 67 74 74 76 77 76 74 74 72 70 69 70 72 74 67 67 67 74 74 76 77 76 74 74 72 72 70 69 70 72 74 69 70 69 70 67 69 70 72 72 70 69 69 70 69 70 67 69 70 72 72 70 69 69 74 76 77 76 74 73 73 73 74 72 70 69 70 69 67 66 67)
NLB016077_01,0,0,(72 72 67 69 71 72 72 72 67 69 71 72 74 74 74 74 76 77 76 74 72 72 71 69 67 72 76 72 72 72 69 67 67 67 72 71 74 72)
NLB016114_01,1,0,(67 69 71 67 67 67 69 71 72 72 71 69 69 69 69 66 64 62 67 69 71 71 69 67)
NLB016117_01,-1,0,(60 60 69 67 69 65 65 60 69 67 69 65 65 65 67 67 72 70 67 65 69 70 72 69 69 74 72 72 70 67 69 70 67 67 72 70 70 69 72 72 72 70 69 69 67 65 67 65 67 74 70 67 65 69 72 72 70 67 65)
NLB016118_01,1,0,(62 62 67 67 67 69 69 71 71 69 67 67 71 74 74 74 72 69 67 71 72 74 74 71 69 71 72 71 69 71 72 71 69 67 67 66 67 76 74 71 74 73 74 74 76 73 74 71 72 74 74 71 69 71 72 71 69 71 72 71 69 67 67 66 67 69 66 62 74 72 74 74 76 72)
NLB016154_01,0,9,(71 71 72 74 76 74 71 71 71 72 72 72 69 69 69 74 74 76 76 76 79 77 76 72 76 74 76 79 77 76 72 76 74 76 79 77 76 72 76 74)
NLB016155_01,1,0,(67 67 69 71 71 74 72 71 72 71 69 71 72 71 69 67 71 74 72 71 72 71 69 71 67 69 71 72 74 72 71 69 71 67 66 67 67 69 71 72 74 72 71 69 71 67 62 67)
NLB016158_01,0,0,(69 71 69 67 72 74 72 71 72 67 67 67 72 74 74 76 77 76 72 72 76 76 76 74 72 72 71 72 74 74 76 69 69 71 72 74 72 71 69)
NLB016471_01,0,9,(72 71 72 74 76 74 72 71 71 72 71 69 71 72 74 76 76 77 76 74 76 74 73 74)
NLB016472_01,0,9,(74 71 72 74 74 76 74 72 71 74 72 71 69 67 69 71 72 74 76 76 77 76 74 76 74 71 72 74)
NLB016566_01,2,0,(62 66 69 69 66 66 67 64 61 62 64 66 67 69 74 69 67 64 67 66 62 64 66 62 64 66 67 66 57 57 62 66 69 74 69 66 66 64 69 71 69 66 67 64 67 67 69 71 69 66 69 67 64 62)
NLB016605_01,0,0,(60 60 64 67 72 71 72 74 71 72 72 76 74 72 71 69 67 64 67 69 67 67 65 64 64 62 65 67 69 67 67 65 64 64 62 62 64 64 64 64 67 72 69 67 65 64 72 72 67 72 76 72 67 64 67 69 65 64 62 60)
NLB016606_01,0,9,(69 69 76 77 76 74 72 72 72 74 76 76 74 76 72 67 69 71 72 72 74 76 76 74 76 72 67 69 71 72 69 76 76 74 76 72 72 71 69 71 72 74 76 76 74 72 72 71 69 68 69 71 72 69)
NLB016838_01,-1,9,(62 69 69 71 73 74 69 71 72 76 71 69 69 69 72 65 65 69 67 67 61 62 64 65 67 64 62 62)
NLB016860_01,-1,0,(67 67 67 70 70 69 67 67 70 70 72 72 74 70 72 74 74 74 72 74 74 70 74 72 70 69 67 65 62 70 72 74 70 72 69 67)
NLB016879_01,2,0,(69 69 69 74 66 67 64 62 62 64 66 67 64 66 62 64 64 69 68 67 66 66 64 62 64 66 62 62 64 66 64 69 71 68 71 69 69 69 71 73 74 69 76 69 78 74 73 71 69 66 67 64 62)
NLB017021_01,-1,0,(69 69 67 65 65 64 65 67 67 65 62 60 67 67 67 69 71 72 72 67 67 72 70 69 65 60 65 67 69 65 67 65 62 67 67 69 70 69 67 64 60 60 65 69 74 72 72 60 65 69 74 72 72 72 70 69 67 65 62 70 72 70 69 67 67 65)
NLB017033_01,1,0,(67 67 67 72 72 71 69 69 71 72 74 72 72 71 72 72 71 69 67 69 67 65 64 62 69 71 71 69 67 67 66 67)
NLB017040_01,1,0,(62 67 71 74 79 74 72 71 69 67 66 67 69 66 64 62 71 72 72 76 76 74 72 71 72 74 71 69 72 76 74 72 69 67)
NLB017049_01,1,0,(67 64 66 67 69 71 72 71 69 71 69 67 64 67 69 71 72 71 69 66 69 74 74 72 71 69 67 66 62 64 66 67 69 67 69 71 66 69 74 74 72 71 69 67 66 62 64 66 67)
NLB017058_01,-1,0,(60 65 65 65 67 69 69 67 65 65 69 72 72 70 70 69 65 74 74 77 74 72 74 72 69 69 69 67 67 67 60 60 60 60 65 65 69 69 72 74 72 70 69 69 67 67 65)
NLB017059_01,-1,0,(60 65 65 65 65 67 69 69 70 69 69 72 72 70 70 70 69 69 72 74 72 69 70 72 70 69 69 69 69 67 65 67 69 67 60 65 67 69 70 72 74 72 69 70 70 72 72 65)
NLB017060_01,1,0,(62 67 66 67 67 67 76 74 74 73 72 69 67 62 62 66 67 69 74 71 69 68 67 64 62 71 72 71 69 67 66 69 62 71 72 71 69 67 66 69 62 62 67 66 67 69 71 71 71 76 74 74 69 69 69 69 71 73 74 71 67 64 62 71 69 67)
NLB017066_01,2,0,(69 71 73 74 66 67 64 62 62 64 66 64 69 73 71 69 68 71 69 69 69 69 67 66 66 64 71 69 61 62 62 64 66 64 69 73 71 69 68 71 69 69 69 71 73 74 69 76 69 78 74 73 71 69 74 66 69 69 67 66 64 62)
NLB017101_01,0,9,(74 74 74 72 71 67 69 71 72 74 76 74 72 74 71 69 74 74 74 72 71 67 69 71 72 74 76 74 72 74 71 69 69 69 69 71 71 71 72 69 69 72 71 69 67 65 64 62 60 72 72 72 72 72 72 74 69 69 72 74 76 76 74 72 74 69 69 72 71 69 67 65 64 62)
NLB017242_01,1,0,(62 67 69 71 71 72 74 74 74 74 74 74 74 74 74 74 76 74 73 73 74 69 71 74 71 72 74 76 78 79 76 74 71 72 69 67 74 74 74 74 74 71 74 72 69 71 67 74 74 74 74 74 71 74 72 69 71 67)
NLB017698_01,-1,9,(74 74 72 74 70 69 67 66 67 67 69 70 69 70 72 70 69 67 69 70 69 70 72 74 75 73 74 69 70 69 67 69 67 66 62 67 69 70 72 74 72 69 67)
NLB018954_01,1,0,(62 67 67 69 74 72 71 69 71 69 67 69 71 72 76 74 72 71 67 72 71 69 67 69 67 66 64 62 69 71 69 67 69 71 72 71 69 67 67)
NLB019057_01,-3,0,(58 63 62 63 65 67 70 68 67 67 65 63 75 75 75 74 72 70 72 74 75 74 72 70 70 72 74 75 70 74 72 70 67 70 70 70 72 74 75 68 67 68 67 65 63)
NLB019128_01,-2,9,(62 67 67 69 70 69 67 62 67 67 70 70 70 72 70 72 74 74 74 74 74 75 74 74 72 69 72 72 75 74 74 74 72 70 69 69 72 74 75 67 69 67)
NLB040681_01,-2,9,(67 74 74 76 78 79 74 76 77 81 76 74 74 74 77 70 70 74 72 72 66 67 69 70 72 69 67 67 74 77 70 70 74 72 72 66 67 69 70 72 69 67 67)
NLB040690_01,-2,9,(62 67 69 70 72 74 74 75 74 70 72 74 74 75 74 74 72 70 70 72 74 75 74 72 70 72 72 70 69 70 72 74 70 69 67 66 70 69 67 66 67 69 70 72 74 74 72 70 69 67)
NLB040691_01,-1,0,(60 65 69 70 72 74 72 70 69 72 72 70 69 67 69 70 69 60 65 69 70 72 77 72 70 69 72 72 70 69 67 69 70 69 67 72 70 69 67 69 67 65 60 65 65 67 69 70 69 67 69 67 72 70 69 67 69 67 65 60 65 65 67 69 70 69 67 65)
NLB040703_01,0,9,(64 69 68 69 71 72 72 71 64 69 68 69 71 72 72 71 69 71 72 74 72 71 69 68 69 69 67 65 64 69 71 72 74 72 71 69 68 69 64 69)
NLB051862_01,2,0,(69 68 69 71 64 67 61 62 69 68 69 71 71 69 67 66 69 68 69 71 71 71 69 71 73 74 74 74 66 64 66 71 69 67 64 62)
NLB054252_01,0,0,(67 72 72 72 71 71 69 69 67 72 71 71 69 69 69 69 67 67 67 72 72 72 69 69 67 67 64 64 64 65 65 65 62 62 62 69 67 67 67 67 60 62 62 64 65 67 72 69 65 67 67 60)
NLB063091_01,-1,0,(72 70 69 72 69 67 70 67 65 69 65 60 60 70 70 69 72 69 67 72 70 69 67 69 70 69 70 72 77 74 70 67 65 69 72 72 70 67 65)
NLB064541_01,-1,0,(65 60 65 60 65 67 69 69 67 69 72 70 67 72 72 69 67 65 60 65 60 65 67 69 69 67 69 72 74 72 70 69 67 65)
NLB065827_01,2,0,(67 66 64 66 67 69 67 66 69 69 69 71 74 71 69 71 71 74 69 71 69 67 66 69 69 69 71 64 66 67 69 66 71 71 74 69 71 69 67 66 69 69 69 71 64 66 67 69 62)
NLB070000_01,1,0,(62 67 67 66 66 64 64 62 62 64 64 66 66 67 62 67 67 66 66 64 64 62 62 64 64 66 66 67 62 67 67 67 66 67 64 64 64 69 69 69 67 66 64 62 62 71 71 71 71 69 67 67 67 67 67 69 67 66 64 66 67 69 71 67 67 66 67 69 67 66 64 66 67)
NLB070001_01,1,0,(67 66 67 62 67 66 67 62 67 66 67 67 69 69 66 64 62 60 59 60 60 62 62 62 67 67 67 69 69 71 71 69 67)
NLB070002_01,1,0,(69 69 71 71 69 67 71 71 69 69 67 66 69 69 67 66 64 66 67 66 64 62 62 62 64 62 64 66 67 66 64 62 62 62 64 66 67 69 72 71 69 67)
NLB070016_01,1,0,(71 74 71 76 74 72 71 74 67 69 71 72 76 76 78 76 74 74 76 78 81 79 78 76 74 79 78 76 76 74 69 72 71 67)
NLB070016_02,1,0,(74 72 71 74 76 74 72 71 74 67 69 71 72 76 78 76 74 74 76 78 81 79 78 76 74 79 78 76 76 74 69 71 72 72 71 69 67)
NLB070017_01,1,0,(67 69 71 71 71 69 72 67 67 71 72 74 72 71 69 71 69 69 71 74 74 74 74 74 76 74 71 71 69 67 74 72 71 69 71 71 72 74 74 74 74 74 76 74 71 71 69 67 74 72 71 69 67)
NLB070018_01,1,0,(67 69 71 74 72 71 71 69 74 76 78 79 72 71 69 74 74 74 76 78 79 78 76 74 72 71 67 69 71 74 72 71 69 67)
NLB070019_01,1,0,(71 72 74 74 76 74 72 71 72 72 74 72 71 69 71 74 74 72 71 69 67 69 72 71 69 67 66 67 69 76 74 76 74 67 69 72 71)
NLB070020_01,1,0,(62 67 69 71 69 67 66 64 66 67 69 71 72 71 69 74 72 71 69 67 66 64 72 71 69 67)
NLB070021_01,1,0,(74 74 79 71 74 79 78 76 74 76 79 79 78 79 81 83 81 79 78 76 74 74 72 71 76 74 74 76 74 76 78 79 79 79 79 84 83 79 81 74 79)
NLB070022_01,1,0,(67 69 71 76 74 72 71 69 71 67 69 69 71 72 74 76 78 76 74 71 72 74 79 78 76 74 72 71 69 76 74 74 76 78 76 74 76 74 67 71 69 67 69 71 76 74 72 71 69 74 67 69 71 72 74 76 78 76 74 71 72 74 79 78 76 74 72 71 69 74 74 76 78 76 74 76 74 67 71 72 74 79 78 76 74 72 71 69 76 74 74 76 78 76 74 76 74 67)
NLB070022_02,1,0,(71 69 67 69 71 76 74 72 71 69 74 67 69 71 72 74 76 78 76 74 71 72 74 79 78 76 74 72 71 69 74 74 76 78 76 74 76 74 67 71 72 74 79 78 76 74 72 71 69 76 74 74 76 78 76 74 76 74 67)
NLB070027_01,1,0,(71 69 67 67 71 72 74 74 67 71 69 69 67 69 71 74 74 76 76 74 72 76 74 74 72 71 69 74 74 76 74 67)
NLB070027_02,1,0,(71 69 67 67 71 72 74 74 67 71 69 69 67 69 71 74 74 76 76 79 78 76 74 74 72 71 69 74 74 74 74 67)
NLB070028_01,1,0,(62 62 67 71 69 67 66 67 69 72 71 69 71 71 72 71 69 69 67 66 64 62 64 66 67)
NLB070029_01,1,0,(62 67 67 71 74 73 74 79 78 76 74 74 74 76 78 76 76 74 72 71 69 71 72 74 72 71 69 67 69 71 69)
NLB070030_01,1,0,(62 67 67 67 71 69 67 69 69 71 72 71 69 67 71 74 74 72 71 69 62 67 67 67 71 69 67 69 71 72 71 69 67 71 74 74 72 71 69 71 72 74 76 76 74 72 71 72 74 74 72 71 72 74 76 76 74 72 74 71 72 74 76 76 74 72 71 71 74 74 74 67 69 69 71 72 71 69 67)
NLB070033_01,1,0,(62 62 67 71 69 67 74 72 71 69 67 67 71 74 74 76 74 72 71 69 69 71 72 72 72 74 72 71 69 67 71 71 67 67 69 69 71 69 66 64 66 67)
NLB070037_01,1,0,(74 76 74 72 72 71 74 74 71 69 76 74 72 71 74 74 72 71 69 67 71 71 69 74 74 79 78 76 74 74 79 78 76 74 76 74 72 71 71 69 76 74 72 71 69 71 69 67 74 76 78 79 79 78 76 74 69 71 74 76 78 79 79 78 76 74 69 67)
NLB070038_01,1,0,(74 76 74 69 71 67 74 76 74 72 71 69 71 69 62 67 67 69 69 71 71 69 69 71 74 73 76 74 67 69 71 72 74 71 72 76 74 74 67)
NLB070039_01,1,0,(67 69 71 69 71 72 74 74 76 76 74 71 74 76 76 74 74 76 74 69 76 74 72 71 74 76 74 76 74 72 71 72 74 76 76 74 72 71 72 74 74 72 71)
NLB070040_01,1,0,(74 74 74 76 74 71 69 67 67 67 67 69 69 71 72 74 76 74 71 74 74 74 76 74 71 69 67 67 67 67 69 69 71 72 74 76 74 71 71 69 69 71 69 71 69 67 69 71 69 69 71 69 71 69 67 69 71 62 67 71 74 79 76 74 72 71 67 69 67 69 71 72 74 79 76 74 72 71 67 69 67)
NLB070050_01,1,0,(71 69 71 72 72 71 71 69 76 74 71 69 71 72 72 71 69 76 76 74 67 69 71 72 74 79 79 78 76 76 76 74 74 74 72 76 74 71 71 71 69 76 74 72 71 72 72 72 71 71 71 69 72 71 69 67)
NLB070051_01,1,0,(62 71 71 69 67 69 71 69 66 62 67 74 74 72 71 74 67 71 71 72 72 69 71 72 69 72 71 62 67 69 71 74 72 71 69 67 71 71 72 72 69 71 72 69 72 71 62 67 69 71 74 72 71 69 67)
NLB070052_01,1,0,(67 67 62 66 64 62 60 59 62 67 59 64 62 71 69 67 71 69 62 67 67 67 69 71 69 69 69 67 69 71 71 71 69 71 72 72 72 71 69 71 69 71 72 69 67 66 67)
