uid,event,ioi,period,pulses
3a6835c5e2e588e0-0,13,4,20,10
3a6835c5e2e588e0-0,14,2,20,10
3a6835c5e2e588e0-0,15,2,20,10
3a6835c5e2e588e0-0,16,6,20,10
3a6835c5e2e588e0-0,17,2,20,10
3a6835c5e2e588e0-0,18,2,20,10
3a6835c5e2e588e0-0,19,2,20,10
3a6835c5e2e588e0-0,20,2,20,10
3a6835c5e2e588e0-0,21,2,20,10
3a6835c5e2e588e0-0,22,2,20,10
3a6835c5e2e588e0-0,23,2,20,10
3a6835c5e2e588e0-0,24,10,20,10
3a6835c5e2e588e0-0,25,2,20,10
3a6835c5e2e588e0-0,26,4,20,10
3a6835c5e2e588e0-0,27,4,20,10
3a6835c5e2e588e0-0,28,4,20,10
b8c6bb5143ca98ba-0,0,4,16,4
b8c6bb5143ca98ba-0,1,2,16,4
b8c6bb5143ca98ba-0,2,2,16,4
b8c6bb5143ca98ba-0,3,4,16,4
b8c6bb5143ca98ba-0,4,4,16,4
b8c6bb5143ca98ba-0,5,4,16,4
b8c6bb5143ca98ba-0,6,2,16,4
b8c6bb5143ca98ba-0,7,2,16,4
b8c6bb5143ca98ba-0,8,2,16,4
b8c6bb5143ca98ba-0,9,1,16,4
b8c6bb5143ca98ba-0,10,1,16,4
b8c6bb5143ca98ba-0,11,4,16,4
b8c6bb5143ca98ba-0,12,2,16,4
b8c6bb5143ca98ba-0,13,2,16,4
b8c6bb5143ca98ba-0,14,2,16,4
b8c6bb5143ca98ba-0,15,2,16,4
b8c6bb5143ca98ba-0,16,3,16,4
b8c6bb5143ca98ba-0,17,1,16,4
b8c6bb5143ca98ba-0,18,2,16,4
b8c6bb5143ca98ba-0,19,2,16,4
b8c6bb5143ca98ba-0,20,6,16,4
b8c6bb5143ca98ba-0,21,2,16,4
b8c6bb5143ca98ba-0,22,2,16,4
b8c6bb5143ca98ba-0,23,2,16,4
b8c6bb5143ca98ba-0,24,4,16,4
b8c6bb5143ca98ba-0,25,6,16,4
b8c6bb5143ca98ba-0,26,2,16,4
b8c6bb5143ca98ba-0,27,4,16,4
b8c6bb5143ca98ba-0,28,4,16,4
134a5b35081eff68-0,0,4,20,10
134a5b35081eff68-0,1,2,20,10
134a5b35081eff68-0,2,1,20,10
134a5b35081eff68-0,3,1,20,10
134a5b35081eff68-0,4,2,20,10
